Canton of,Code,Since,Capital,Population,GDP percapita (2014)[16]in CHF,Area (km2),Density (per km2)[Note 4],No. munic.,Official languages,Capital_clean,lat,lng
Zürich,ZH,1351,Zürich,"1,504,346[17]","96,411","1,729",701,168,German,Zürich,47.3768866,8.541694
Bern,BE,1353,Bern,"1,031,126[18]","76,307","5,960",158,352,"German, French",Bern,46.9479739,7.4474468
Luzern,LU,1332,Lucerne,"403,397[19]","65,119","1,494",233,83,German,Lucerne,47.05016819999999,8.3093072
Uri,UR,1291,Altdorf,"36,145[20]","51,332","1,077",33,20,German,Altdorf,46.8821272,8.642843599999999
Schwyz,SZ,1291,Schwyz,"155,863[21]","58,788",908,143,30,German,Schwyz,47.0207138,8.652988400000002
Obwalden,OW,1291,Sarnen,"37,378[22]","64,253",491,66,7,German,Sarnen,46.8959313,8.245675799999999
Nidwalden,NW,1291,Stans,"42,556[23]","69,559",276,138,11,German,Stans,46.9571926,8.3659672
Glarus,GL,1352,Glarus,"40,349[17]","67,379",685,51,3,German,Glarus,47.0411232,9.0679
Zug,ZG,1352,Zug,"123,948[24]","150,613",239,416,11,German,Zug,47.1661672,8.5154946
Fribourg,FR,1481,Fribourg,"315,074[17]","58,369","1,671",141,150,"French, German",Fribourg,46.8064773,7.161971899999999
Solothurn,SO,1481,Solothurn,"269,441[25]","65,588",790,308,109,German,Solothurn,47.2088348,7.532291
Basel-Stadt,BS,1501,Basel,"198,249[26]","163,632",37,"5,072",3,German,Basel,47.5595986,7.5885761
Basel-Landschaft,BL,1501,Liestal,"288,660[27]","68,537",518,502,86,German,Liestal,47.4866143,7.7334272
Schaffhausen,SH,1501,Schaffhausen,"80,769[28]","85,529",298,246,26,German,Schaffhausen,47.6958897,8.6380489
Appenzell Ausserrhoden,AR,1513,Herisau[Note 6],"54,954[29]","56,663",243,220,20,German,Herisau,47.3857009,9.2798472
Appenzell Innerrhoden,AI,1513,Appenzell,"16,003[30]","61,067",172,87,6,German,Appenzell,47.33493199999999,9.406594
St. Gallen,SG,1803,St. Gallen,"502,552[31]","72,624","2,031",222,77,German,St. Gallen,47.4244818,9.3767173
Grisons,GR,1803,Chur,"197,550[32]","70,968","7,105",26,108,"German, Romansh, Italian",Chur,46.8507835,9.5319859
Aargau,AG,1803,Aarau,"670,988[17]","61,959","1,404",388,213,German,Aarau,47.390434,8.0457015
Thurgau,TG,1803,Frauenfeld[Note 11],"270,709[33]","60,533",992,229,80,German,Frauenfeld,47.5535997,8.8987541
Ticino,TI,1803,Bellinzona,"354,375[34]","82,438","2,812",110,115,Italian,Bellinzona,46.1946216,9.0244124
Vaud,VD,1803,Lausanne,"784,822[35]","68,084","3,212",188,318,French,Lausanne,46.5196535,6.6322734
Valais,VS,1815,Sion,"339,176[36]","52,532","5,224",53,134,"French, German",Sion,46.2331221,7.360625999999999
Neuchâtel,NE,1815/1857,Neuchâtel,"178,567[37]","83,835",802,206,31,French,Neuchâtel,46.9899874,6.9292732
Geneva,GE,1815,Geneva,"489,524[38]","102,113",282,"1,442",45,French,Geneva,46.2043907,6.1431577
Jura,JU,1979,Delémont,"73,290[17]","64,606",839,82,57,French,Delémont,47.365837,7.345155500000001
